id,name,release_date,genre
77320,Portal 2,2011-04-19,Platformer
77320,Portal 2,2011-04-19,Puzzle
192498,The Legend of Zelda: Breath of the Wild,2017-03-03,Action Adventure
69417,The Legend of Zelda: A Link to the Past,1991-11-21,Action Adventure
68992,Chrono Trigger,1995-03-11,RPG
68427,Portal (2007),2007-10-09,Puzzle
69334,The Legend of Zelda: Ocarina of Time,1998-11-21,Action Adventure
71224,Super Metroid,1994-03-19,Metroidvania
71224,Super Metroid,1994-03-19,Platformer
71224,Super Metroid,1994-03-19,Scrolling
138780,The Witcher 3: Wild Hunt,2015-05-19,RPG
138780,The Witcher 3: Wild Hunt,2015-05-19,Sandbox
68397,Mass Effect 2,2010-01-26,Action RPG
68397,Mass Effect 2,2010-01-26,RPG
70785,Valkyria Chronicles,2008-04-24,Tactical RPG
70721,Warcraft III: The Frozen Throne,2003-07-01,Real Time Strategy
70954,Grim Fandango,1998-12-15,Adventure
70954,Grim Fandango,1998-12-15,Point-and-Click
76411,Mega Man 2,1988-12-24,Platformer
72069,The Legend of Zelda: Twilight Princess,2006-11-19,Action Adventure
68549,Final Fantasy IX,2000-07-07,RPG
71626,GoldenEye 007,1997-08-23,First Person Shooter
68524,Secret of Mana (1993),1993-08-06,Action RPG
105157,Borderlands 2,2012-09-18,Action RPG
105157,Borderlands 2,2012-09-18,First Person Shooter
70564,Suikoden II,1998-12-17,RPG
143460,Civilization V: Brave New World,2013-07-09,4x Strategy
141874,The Legend of Zelda: A Link Between Worlds,2013-11-22,Action Adventure
211261,Red Dead Redemption II,2018-10-26,Sandbox
211261,Red Dead Redemption II,2018-10-26,Shooter
72055,Dragon Age: Origins,2009-11-03,RPG
71738,The Legend of Zelda: Majora's Mask,2000-04-27,Action Adventure
68779,Assassin's Creed II,2009-11-17,Action Adventure
70971,Rock Band 2,2008-09-14,Rhythm
72139,Silent Hill 2,2001-09-24,Action Adventure
69327,The Legend of Zelda,1986-02-22,Action Adventure
68745,Paper Mario: The Thousand-Year Door,2004-07-22,Platformer
68745,Paper Mario: The Thousand-Year Door,2004-07-22,RPG
147087,XCOM: Enemy Within,2013-11-15,Strategy
147087,XCOM: Enemy Within,2013-11-15,Tactical RPG
71132,Metroid Prime,2002-11-17,First Person Shooter
71132,Metroid Prime,2002-11-17,Metroidvania
80945,Civilization V,2010-09-21,4x Strategy
75065,Super Smash Bros. Melee,2001-11-21,Fighting
68287,Master of Orion,1993-01-01,4x Strategy
68287,Master of Orion,1993-01-01,Strategy
179544,Horizon Zero Dawn,2017-02-28,Sandbox
