id,name,release_date,platform
77320,Portal 2,2011-04-21,PlayStation 3
77320,Portal 2,2011-04-21,Macintosh
77320,Portal 2,2011-04-21,Xbox 360
77320,Portal 2,2011-04-19,PlayStation 3
77320,Portal 2,2011-04-19,Macintosh
77320,Portal 2,2011-04-19,Xbox 360
77320,Portal 2,2011-04-18,Macintosh
77320,Portal 2,2011-04-19,Windows
192498,The Legend of Zelda: Breath of the Wild,2017-03-03,Nintendo Switch
192498,The Legend of Zelda: Breath of the Wild,2017-03-03,Wii U
69417,The Legend of Zelda: A Link to the Past,1992-09-24,SNES
69417,The Legend of Zelda: A Link to the Past,2006-12-02,Wii
69417,The Legend of Zelda: A Link to the Past,2013-12-12,Wii U
69417,The Legend of Zelda: A Link to the Past,1991-11-21,SNES
69417,The Legend of Zelda: A Link to the Past,2016-03-10,Nintendo 3DS
69417,The Legend of Zelda: A Link to the Past,2019-09-05,Nintendo Switch
69417,The Legend of Zelda: A Link to the Past,1992-04-13,SNES
68992,Chrono Trigger,2009-02-03,Nintendo DS
68992,Chrono Trigger,2011-12-22,Other Mobile Devices
68992,Chrono Trigger,2009-02-06,Nintendo DS
68992,Chrono Trigger,2011-05-16,Wii
68992,Chrono Trigger,2011-12-08,iPad
68992,Chrono Trigger,2008-11-20,Nintendo DS
68992,Chrono Trigger,2011-08-04,Nintendo DS
68992,Chrono Trigger,1999-11-02,PlayStation
68992,Chrono Trigger,2002-01-17,PlayStation
68992,Chrono Trigger,2006-07-20,PlayStation
68992,Chrono Trigger,1995-03-11,SNES
68992,Chrono Trigger,2008-11-25,Nintendo DS
68992,Chrono Trigger,1995-08-22,SNES
68992,Chrono Trigger,2011-09-28,PlayStation 3
68992,Chrono Trigger,2018-02-27,Windows
68427,Portal (2007),2008-04-11,Windows
68427,Portal (2007),2008-04-10,Windows
68427,Portal (2007),2010-05-12,Macintosh
68427,Portal (2007),2008-04-09,Windows
68427,Portal (2007),2007-10-10,Macintosh
68427,Portal (2007),2008-10-22,Xbox 360
69334,The Legend of Zelda: Ocarina of Time,2011-06-30,Nintendo 3DS
69334,The Legend of Zelda: Ocarina of Time,1998-12-18,Nintendo 64
69334,The Legend of Zelda: Ocarina of Time,1998-12-11,Nintendo 64
69334,The Legend of Zelda: Ocarina of Time,2007-02-23,Wii
69334,The Legend of Zelda: Ocarina of Time,2015-07-02,Wii U
69334,The Legend of Zelda: Ocarina of Time,2011-06-17,Nintendo 3DS
69334,The Legend of Zelda: Ocarina of Time,2011-06-16,Nintendo 3DS
69334,The Legend of Zelda: Ocarina of Time,1998-11-21,Nintendo 64
69334,The Legend of Zelda: Ocarina of Time,2012-09-27,Nintendo 3DS
69334,The Legend of Zelda: Ocarina of Time,2003-03-24,GameCube
69334,The Legend of Zelda: Ocarina of Time,2011-06-19,Nintendo 3DS
69334,The Legend of Zelda: Ocarina of Time,1998-11-24,Nintendo 64
69334,The Legend of Zelda: Ocarina of Time,1999-01-01,Nintendo 64
69334,The Legend of Zelda: Ocarina of Time,1998-11-23,Nintendo 64
71224,Super Metroid,2016-03-10,Nintendo 3DS
71224,Super Metroid,2019-09-05,Nintendo Switch
71224,Super Metroid,1994-07-28,SNES
71224,Super Metroid,1994-03-19,SNES
71224,Super Metroid,1994-04-18,SNES
71224,Super Metroid,2013-05-15,Wii U
71224,Super Metroid,2007-08-20,Wii
138780,The Witcher 3: Wild Hunt,2015-05-19,PlayStation 4
138780,The Witcher 3: Wild Hunt,2015-05-21,PlayStation 4
138780,The Witcher 3: Wild Hunt,2015-05-19,Windows
138780,The Witcher 3: Wild Hunt,2015-05-19,Xbox One
68397,Mass Effect 2,2010-01-26,Windows
68397,Mass Effect 2,2010-01-29,Xbox 360
68397,Mass Effect 2,2010-01-28,Xbox 360
68397,Mass Effect 2,2011-01-18,PlayStation 3
68397,Mass Effect 2,2010-01-26,Xbox 360
68397,Mass Effect 2,2011-01-21,PlayStation 3
68397,Mass Effect 2,2010-01-29,Windows
70552,Baldur's Gate II: Shadows of Amn,2000-11-03,Windows
70552,Baldur's Gate II: Shadows of Amn,2001-09-24,Macintosh
70552,Baldur's Gate II: Shadows of Amn,2000-09-24,Windows
70552,Baldur's Gate II: Shadows of Amn,2010-11-01,Windows
70785,Valkyria Chronicles,2008-10-31,PlayStation 3
70785,Valkyria Chronicles,2016-05-17,PlayStation 4
70785,Valkyria Chronicles,2008-04-24,PlayStation 3
70785,Valkyria Chronicles,2008-11-04,PlayStation 3
